Last Updated,Abbrv,Candidate,Party,Votes
"Nov 7, 2024 at 1:50 PM",CT,Kamala Harris,DEM,"994,549"
"Nov 7, 2024 at 1:50 PM",CT,Donald J. Trump,GOP,"739,638"
"Nov 7, 2024 at 1:50 PM",CT,Jill Stein,GRE,"14,322"
"Nov 7, 2024 at 1:50 PM",CT,Chase Oliver,LIB,"8,460"
"Nov 7, 2024 at 1:50 PM",CT,Robert F. Kennedy Jr.,IND,"6,743"
"Nov 7, 2024 at 1:50 PM",DC,Kamala Harris,DEM,"289,244"
"Nov 7, 2024 at 1:50 PM",DC,Donald J. Trump,GOP,"20,874"
"Nov 7, 2024 at 1:50 PM",DC,Robert F. Kennedy Jr.,IND,"2,751"
"Nov 7, 2024 at 1:50 PM",DE,Kamala Harris,DEM,"289,758"
"Nov 7, 2024 at 1:50 PM",DE,Donald J. Trump,GOP,"214,351"
"Nov 7, 2024 at 1:50 PM",DE,Robert F. Kennedy Jr.,IND,"4,636"
"Nov 7, 2024 at 1:50 PM",DE,Chase Oliver,LIB,"2,038"
"Nov 7, 2024 at 1:50 PM",DE,Vermin Supreme,OTH,914
"Nov 7, 2024 at 1:50 PM",MA,Kamala Harris,DEM,"2,077,551"
"Nov 7, 2024 at 1:50 PM",MA,Donald J. Trump,GOP,"1,235,487"
"Nov 7, 2024 at 1:50 PM",MA,Jill Stein,GRE,"25,158"
"Nov 7, 2024 at 1:50 PM",MA,Shiva Ayyadurai,IND,"17,806"
"Nov 7, 2024 at 1:50 PM",MA,Chase Oliver,LIB,"17,364"
"Nov 7, 2024 at 1:50 PM",MD,Kamala Harris,DEM,"1,870,812"
"Nov 7, 2024 at 1:50 PM",MD,Donald J. Trump,GOP,"1,028,785"
"Nov 7, 2024 at 1:50 PM",MD,Jill Stein,GRE,"32,376"
"Nov 7, 2024 at 1:50 PM",MD,Robert F. Kennedy Jr.,IND,"28,364"
"Nov 7, 2024 at 1:50 PM",MD,Chase Oliver,LIB,"15,436"
"Nov 7, 2024 at 1:50 PM",NH,Kamala Harris,DEM,"417,544"
"Nov 7, 2024 at 1:50 PM",NH,Donald J. Trump,GOP,"395,346"
"Nov 7, 2024 at 1:50 PM",NH,Chase Oliver,LIB,"6,007"
"Nov 7, 2024 at 1:50 PM",NH,Jill Stein,GRE,"3,631"
"Nov 7, 2024 at 1:50 PM",NJ,Kamala Harris,DEM,"2,217,537"
"Nov 7, 2024 at 1:50 PM",NJ,Donald J. Trump,GOP,"1,965,989"
"Nov 7, 2024 at 1:50 PM",NJ,Jill Stein,GRE,"38,984"
"Nov 7, 2024 at 1:50 PM",NJ,Robert F. Kennedy Jr.,IND,"23,442"
"Nov 7, 2024 at 1:50 PM",NJ,Chase Oliver,LIB,"10,489"
"Nov 7, 2024 at 1:50 PM",RI,Kamala Harris,DEM,"285,132"
"Nov 7, 2024 at 1:50 PM",RI,Donald J. Trump,GOP,"214,398"
"Nov 7, 2024 at 1:50 PM",RI,Robert Wells,IND,"5,045"
"Nov 7, 2024 at 1:50 PM",RI,Robert F. Kennedy Jr.,IND,"2,990"
"Nov 7, 2024 at 1:50 PM",RI,Jill Stein,GRE,"1,617"
"Nov 7, 2024 at 1:50 PM",VT,Kamala Harris,DEM,"235,792"
"Nov 7, 2024 at 1:50 PM",VT,Donald J. Trump,GOP,"119,392"
"Nov 7, 2024 at 1:50 PM",VT,Robert F. Kennedy Jr.,IND,"5,905"
"Nov 7, 2024 at 1:50 PM",VT,Chase Oliver,LIB,"1,828"
"Nov 7, 2024 at 1:50 PM",VT,Claudia De la Cruz,IND,"1,710"
"Nov 7, 2024 at 1:50 PM",ME-01,Kamala Harris,DEM,"233,381"
"Nov 7, 2024 at 1:50 PM",ME-01,Donald J. Trump,GOP,"147,101"
"Nov 7, 2024 at 1:50 PM",ME-01,Jill Stein,GRE,"4,396"
"Nov 7, 2024 at 1:50 PM",ME-01,Chase Oliver,LIB,"2,529"
"Nov 7, 2024 at 1:50 PM",ME-01,Cornel West,IND,"1,522"
"Nov 7, 2024 at 1:50 PM",ME-02,Donald J. Trump,GOP,"207,845"
"Nov 7, 2024 at 1:50 PM",ME-02,Kamala Harris,DEM,"172,025"
"Nov 7, 2024 at 1:50 PM",ME-02,Jill Stein,GRE,"4,121"
"Nov 7, 2024 at 1:50 PM",ME-02,Chase Oliver,LIB,"2,438"
"Nov 7, 2024 at 1:50 PM",ME-02,Cornel West,IND,"1,213"
"Nov 7, 2024 at 1:50 PM",NE-01,Donald J. Trump,GOP,"172,335"
"Nov 7, 2024 at 1:50 PM",NE-01,Kamala Harris,DEM,"129,714"
"Nov 7, 2024 at 1:50 PM",NE-01,Chase Oliver,LIB,"2,298"
"Nov 7, 2024 at 1:50 PM",NE-01,Cornel West,IND,"1,249"
"Nov 7, 2024 at 1:50 PM",NE-01,Jill Stein,GRE,931
"Nov 7, 2024 at 1:50 PM",NE-02,Kamala Harris,DEM,"153,618"
"Nov 7, 2024 at 1:50 PM",NE-02,Donald J. Trump,GOP,"142,486"
"Nov 7, 2024 at 1:50 PM",NE-02,Chase Oliver,LIB,"1,855"
"Nov 7, 2024 at 1:50 PM",NE-02,Jill Stein,GRE,"1,033"
"Nov 7, 2024 at 1:50 PM",NE-02,Cornel West,IND,"1,011"
"Nov 7, 2024 at 1:50 PM",NE-03,Donald J. Trump,GOP,"236,522"
"Nov 7, 2024 at 1:50 PM",NE-03,Kamala Harris,DEM,"69,774"
"Nov 7, 2024 at 1:50 PM",NE-03,Chase Oliver,LIB,"1,960"
"Nov 7, 2024 at 1:50 PM",NE-03,Cornel West,IND,863
"Nov 7, 2024 at 1:50 PM",NE-03,Jill Stein,GRE,763
"Nov 7, 2024 at 1:50 PM",ME,Kamala Harris,DEM,"426,605"
"Nov 7, 2024 at 1:50 PM",ME,Donald J. Trump,GOP,"371,337"
"Nov 7, 2024 at 1:50 PM",ME,Jill Stein,GRE,"8,834"
"Nov 7, 2024 at 1:50 PM",ME,Chase Oliver,LIB,"5,213"
"Nov 7, 2024 at 1:50 PM",ME,Cornel West,IND,"2,845"
"Nov 7, 2024 at 1:50 PM",NY,Kamala Harris,DEM,"4,404,111"
"Nov 7, 2024 at 1:50 PM",NY,Donald J. Trump,GOP,"3,478,782"
"Nov 7, 2024 at 1:50 PM",PA,Donald J. Trump,GOP,"3,542,914"
"Nov 7, 2024 at 1:50 PM",PA,Kamala Harris,DEM,"3,423,103"
"Nov 7, 2024 at 1:50 PM",PA,Jill Stein,GRE,"34,528"
"Nov 7, 2024 at 1:50 PM",PA,Chase Oliver,LIB,"33,317"
"Nov 7, 2024 at 1:50 PM",VA,Kamala Harris,DEM,"2,335,076"
"Nov 7, 2024 at 1:50 PM",VA,Donald J. Trump,GOP,"2,075,009"
"Nov 7, 2024 at 1:50 PM",VA,Jill Stein,GRE,"34,881"
"Nov 7, 2024 at 1:50 PM",VA,Chase Oliver,LIB,"19,811"
"Nov 7, 2024 at 1:50 PM",VA,Cornel West,IND,"8,987"
"Nov 7, 2024 at 1:50 PM",NC,Donald J. Trump,GOP,"2,898,428"
"Nov 7, 2024 at 1:50 PM",NC,Kamala Harris,DEM,"2,715,380"
"Nov 7, 2024 at 1:50 PM",NC,Jill Stein,GRE,"24,762"
"Nov 7, 2024 at 1:50 PM",NC,Chase Oliver,LIB,"22,126"
"Nov 7, 2024 at 1:50 PM",NC,Cornel West,IND,"12,099"
"Nov 7, 2024 at 1:50 PM",WV,Donald J. Trump,GOP,"533,556"
"Nov 7, 2024 at 1:50 PM",WV,Kamala Harris,DEM,"214,309"
"Nov 7, 2024 at 1:50 PM",WV,Robert F. Kennedy Jr.,IND,"8,947"
