pollster,sponsor,start.date,end.date,condition,variable,response,population,N
AtlasIntel,,2024-10-25,2024-10-29,gender_male,vote2024,R,LV,729
AtlasIntel,,2024-10-25,2024-10-29,gender_male,vote2024,D,LV,667
AtlasIntel,,2024-10-25,2024-10-29,gender_male,vote2024,G,LV,13
AtlasIntel,,2024-10-25,2024-10-29,gender_male,vote2024,stay home,LV,7
AtlasIntel,,2024-10-25,2024-10-29,gender_male,vote2024,W,LV,4
AtlasIntel,,2024-10-25,2024-10-29,gender_male,vote2024,L,LV,4
AtlasIntel,,2024-10-25,2024-10-29,gender_female,vote2024,R,LV,760
AtlasIntel,,2024-10-25,2024-10-29,gender_female,vote2024,D,LV,751
AtlasIntel,,2024-10-25,2024-10-29,gender_female,vote2024,G,LV,11
AtlasIntel,,2024-10-25,2024-10-29,gender_female,vote2024,stay home,LV,11
AtlasIntel,,2024-10-25,2024-10-29,gender_female,vote2024,W,LV,3
AtlasIntel,,2024-10-25,2024-10-29,gender_female,vote2024,L,LV,2
AtlasIntel,,2024-10-25,2024-10-29,age_18.29,vote2024,R,LV,222
AtlasIntel,,2024-10-25,2024-10-29,age_18.29,vote2024,D,LV,231
AtlasIntel,,2024-10-25,2024-10-29,age_18.29,vote2024,G,LV,9
AtlasIntel,,2024-10-25,2024-10-29,age_18.29,vote2024,stay home,LV,1
AtlasIntel,,2024-10-25,2024-10-29,age_18.29,vote2024,W,LV,1
AtlasIntel,,2024-10-25,2024-10-29,age_18.29,vote2024,L,LV,0
AtlasIntel,,2024-10-25,2024-10-29,age_30.44,vote2024,R,LV,330
AtlasIntel,,2024-10-25,2024-10-29,age_30.44,vote2024,D,LV,294
AtlasIntel,,2024-10-25,2024-10-29,age_30.44,vote2024,G,LV,12
AtlasIntel,,2024-10-25,2024-10-29,age_30.44,vote2024,stay home,LV,10
AtlasIntel,,2024-10-25,2024-10-29,age_30.44,vote2024,W,LV,1
AtlasIntel,,2024-10-25,2024-10-29,age_30.44,vote2024,L,LV,5
AtlasIntel,,2024-10-25,2024-10-29,age_45.64,vote2024,R,LV,578
AtlasIntel,,2024-10-25,2024-10-29,age_45.64,vote2024,D,LV,546
AtlasIntel,,2024-10-25,2024-10-29,age_45.64,vote2024,G,LV,2
AtlasIntel,,2024-10-25,2024-10-29,age_45.64,vote2024,stay home,LV,7
AtlasIntel,,2024-10-25,2024-10-29,age_45.64,vote2024,W,LV,6
