state_simple,pool,pool.date,test,gpt_id,date,geo3,state_electoral.college,region,turnout2020.bgres,speculation...turnout2020.bgres,turnout2020.bgnores,speculation...turnout2020.bgnores,turnout2020.ind,speculation...turnout2020.ind,turnout2020.demo,speculation...turnout2020.demo,turnout2020.quota,speculation...turnout2020.quota,vote2020.bgres,speculation...vote2020.bgres,vote2020.bgnores,speculation...vote2020.bgnores,vote2020.ind,speculation...vote2020.ind,vote2020.demo,speculation...vote2020.demo,vote2020.quota,speculation...vote2020.quota,turnout2022.bgres,speculation...turnout2022.bgres,turnout2022.bgnores,speculation...turnout2022.bgnores,turnout2022.ind,speculation...turnout2022.ind,turnout2022.demo,speculation...turnout2022.demo,turnout2022.quota,speculation...turnout2022.quota,vote2022.bgres,speculation...vote2022.bgres,vote2022.bgnores,speculation...vote2022.bgnores,vote2022.ind,speculation...vote2022.ind,vote2022.demo,speculation...vote2022.demo,vote2022.quota,speculation...vote2022.quota,turnout2024.bgnores,speculation...turnout2024.bgnores,turnout2024.ind,speculation...turnout2024.ind,vote2024.bgnores,speculation...vote2024.bgnores,vote2024.ind,speculation...vote2024.ind,turnout2024.demo,speculation...turnout2024.demo,vote2024.demo,speculation...vote2024.demo,change_mind.2024.demo,speculation...change_mind.2024.demo,moi,speculation...moi,psych.agreeable,speculation...psych.agreeable,psych.conscientious,speculation...psych.conscientious,psych.extraverted,speculation...psych.extraverted,psych.neurotic,speculation...psych.neurotic,psych.open,speculation...psych.open,psych.happy,speculation...psych.happy,ethnicity,speculation...ethnicity,age_bins,speculation...age_bins,gender,speculation...gender,college_grad,speculation...college_grad,hh_income,speculation...hh_income,marital_status,speculation...marital_status,pol_interest,speculation...pol_interest,trust,speculation...trust,attention,speculation...attention,partisanship,speculation...partisanship,ideology,speculation...ideology,job_approval.Biden,speculation...job_approval.Biden,fav_harris,speculation...fav_harris,fav_walz,speculation...fav_walz,fav_biden,speculation...fav_biden,fav_trump,speculation...fav_trump,fav_jdvance,speculation...fav_jdvance,fav_kennedy,speculation...fav_kennedy,fav_oliver,speculation...fav_oliver,fav_stein,speculation...fav_stein,fav_west,speculation...fav_west,vote2020,speculation...vote2020,vote2022,speculation...vote2022,vote2024,speculation...vote2024
Alabama,trends,2024-10-22 06:41:01,no,06bc3d18c3c8ccbe876fff9f938c47338396a820b13aafc497ee21e1bf6f4f34,2024-10-22,Alabama 1st,Alabama,South,0.7,40,0.7,60,0.85,30,0.7,50,0.85,50,R,50,stay home,80,stay home,70,R,60,stay home,80,0.5,50,0.7,60,0.85,40,0.7,50,0.85,50,stay home,70,R,70,stay home,70,R,60,stay home,80,0.7,60,0.85,30,stay home,80,R,50,0.7,60,R,60,4.50-50,60,jobs and the economy,80,4.somewhat agreeable,50,4.somewhat conscientious,40,4.somewhat extraverted,40,3.neither high nor low in neuroticism,70,4.somewhat open to experience,40,3.rather happy,70,White,90,4.45-54,50,M,10,Does not have a College Degree,70,"2.[25000, 50000)",80,single,80,3.moderately interested,30,3.about half of the time trust other people,70,3.paying some attention,40,4.ind,50,3.moderate in ideological orientation,60,2.Somewhat Disapproves,60,2.Somewhat unfavourable,60,No opinion,90,2.Somewhat unfavourable,60,3.Somewhat favourable,60,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,68,stay home,70,R,63.3333333333333
Alabama,trends,2024-10-18 18:50:23,no,fccc9ced59ed5ac6713b5240b1e4b2364894fe7f861032dcd9db9fc2b9f4a684,2024-10-18,Alabama 5th,Alabama,South,0.5,60,,,0.85,60,0.5,70,0.7,70,stay home,80,,,R,80,stay home,85,stay home,85,0.3,50,0.7,60,0.7,50,0.5,70,0.7,70,stay home,60,stay home,70,stay home,85,stay home,85,stay home,85,0.7,40,0.7,60,G,60,G,80,0.5,85,stay home,85,4.50-50,70,climate change and the environment,50,5.very agreeable,40,4.somewhat conscientious,50,4.somewhat extraverted,50,3.neither high nor low in neuroticism,50,5.very open to experience,40,3.rather happy,40,White,75,3.35-44,50,F,10,Has a College Degree,50,"3.[50000, 75000)",60,single,80,2.slightly interested,50,4.most of the time trust other people,40,2.paying only a little attention,60,4.ind,80,3.moderate in ideological orientation,70,,85,No opinion,85,No opinion,85,No opinion,85,No opinion,85,No opinion,85,No opinion,85,No opinion,85,No opinion,85,No opinion,85,stay home,82.5,stay home,77,G,75
Alabama,trends,2024-10-18 18:59:41,no,c02127f7b050d2c0af324e174da0cf397ed839c5c46c2e3f2bff5813410d24a8,2024-10-18,Alabama 7th,Alabama,South,0.3,50,0.15,50,0.5,50,0.5,80,0.5,80,stay home,90,stay home,70,D,70,stay home,90,stay home,95,0.3,50,0.3,60,0.5,60,0.5,80,0.5,80,stay home,70,stay home,70,stay home,80,stay home,90,stay home,95,0.3,60,0.85,40,stay home,90,W,80,0.5,100,stay home,100,4.50-50,100,inflation and the cost of living,100,4.somewhat agreeable,50,2.somewhat unconscientious,60,5.very extraverted,30,4.somewhat high in neuroticism,50,5.very open to experience,20,3.rather happy,40,White,90,1.18-24,0,M,20,Does not have a College Degree,50,"3.[50000, 75000)",70,single,60,2.slightly interested,80,3.about half of the time trust other people,80,3.paying some attention,80,4.ind,90,2.somewhat ideologically liberal,60,,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,stay home,83,stay home,81,stay home,90
Alabama,trends,2024-10-18 18:52:48,no,9ec38d5ee79ff13c2a5b08f8a98c466e04f9b82c26b5438dc05827baa1d987da,2024-10-18,Alabama's 5th,Alabama,South,0.7,40,1,20,0.85,20,0.85,40,0.85,40,R,30,R,30,R,40,R,30,R,60,0.85,30,0.7,50,0.85,30,0.85,40,0.85,40,R,35,R,40,R,20,R,30,R,60,0.85,30,1,20,R,40,R,30,0.85,25,R,25,2.highly unlikely,35,immigration,30,2.somewhat disagreeable,45,5.very conscientious,35,4.somewhat extraverted,45,2.somewhat low in neuroticism,50,2.somewhat closed to experience,50,3.rather happy,65,White,75,6.65+,20,M,15,Does not have a College Degree,70,"2.[25000, 50000)",80,divorced,85,4.highly interested,20,2.some of the time trust other people,50,4.paying a lot of attention,25,7.strong R,25,5.very ideologically conservative,25,1.Strongly Disapproves,25,1.Very unfavourable,25,1.Very unfavourable,45,1.Very unfavourable,25,4.Very favourable,25,4.Very favourable,45,3.Somewhat favourable,55,No opinion,90,1.Very unfavourable,45,1.Very unfavourable,40,R,38,R,37,R,31.6666666666667
Alabama,trends,2024-10-21 05:58:48,no,6223146021f9f53c0a6432b98cc0b5c1c0c519363e5515cff2dc8d44212f5719,2024-10-21,Alabama 4th,Alabama,South,0.7,50,0.7,60,0.85,60,0.3,75,0.5,75,R,75,R,80,stay home,100,stay home,85,stay home,90,0.7,50,0.85,60,0.85,40,0.3,80,0.5,80,stay home,70,stay home,85,R,60,stay home,85,stay home,90,0.7,50,0.85,30,stay home,70,stay home,85,0.3,85,stay home,85,4.50-50,70,civil rights and racism,85,4.somewhat agreeable,50,4.somewhat conscientious,60,4.somewhat extraverted,50,4.somewhat high in neuroticism,50,4.somewhat open to experience,60,2.not very happy,40,White,80,5.55-64,40,F,10,Does not have a College Degree,70,"2.[25000, 50000)",90,single,70,1.not interested at all,60,4.most of the time trust other people,50,2.paying only a little attention,65,4.ind,80,3.moderate in ideological orientation,75,2.Somewhat Disapproves,85,No opinion,90,No opinion,90,No opinion,90,No opinion,70,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,86,stay home,78,stay home,80
Alabama,politics,2024-10-18 18:49:32,no,d764eb48a34e16d0bf7b11bd286e350aa7bb8cc609a203bfcfb31b1914c33ca4,2024-10-18,Alabama 4th,Alabama,South,0.85,20,0.85,20,1,20,1,20,1,20,R,20,R,30,R,10,R,20,R,20,0.7,40,0.85,20,0.85,30,1,20,1,20,R,30,R,25,R,20,R,20,R,30,1,10,1,10,R,15,R,20,1,20,R,20,1.no chance,20,national security,50,2.somewhat disagreeable,40,3.neither conscientious nor unconscientious,80,4.somewhat extraverted,50,4.somewhat high in neuroticism,50,2.somewhat closed to experience,60,2.not very happy,80,White,90,5.55-64,30,M,10,Does not have a College Degree,50,"3.[50000, 75000)",60,married,80,4.highly interested,10,2.some of the time trust other people,50,4.paying a lot of attention,10,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,10,1.Very unfavourable,10,1.Very unfavourable,10,1.Very unfavourable,10,4.Very favourable,20,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,R,20,R,25,R,18.3333333333333
Alabama,politics,2024-10-18 18:49:32,no,1b937ec24e3176517b3e396a84f669e6c5ae76bd7ac02bd7f38d66555044eb5a,2024-10-18,Alabama 1st,Alabama,South,1,20,1,10,1,20,1,20,1,20,R,15,R,10,R,10,R,10,R,10,1,20,1,20,1,20,1,20,1,20,R,20,R,20,R,10,R,30,R,30,1,10,1,10,R,10,R,10,1,10,R,10,1.no chance,20,national security,50,2.somewhat disagreeable,50,5.very conscientious,40,4.somewhat extraverted,40,4.somewhat high in neuroticism,50,2.somewhat closed to experience,60,3.rather happy,70,White,60,5.55-64,40,M,10,Has a College Degree,50,"3.[50000, 75000)",70,married,50,4.highly interested,10,2.some of the time trust other people,50,4.paying a lot of attention,10,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,20,1.Very unfavourable,30,No opinion,80,1.Very unfavourable,10,4.Very favourable,10,No opinion,80,No opinion,80,No opinion,80,No opinion,80,No opinion,80,R,11,R,22,R,10
Alaska,politics,2024-10-17 11:50:25,no,e3c69447aeca93e453e0aec2c75cb60c7fbe2568c7a95a33495e8838518002da,2024-10-18,Alaska at Large,Alaska,West,0.85,20,0.85,25,0.85,40,0.85,20,0.85,20,R,30,R,20,R,30,R,30,D,30,0.7,50,0.7,60,0.85,25,0.85,30,0.5,30,R,40,R,50,R,10,R,40,D,60,0.85,30,0.85,20,R,20,R,20,0.85,30,R,30,1.no chance,20,national security,50,2.somewhat disagreeable,50,4.somewhat conscientious,40,4.somewhat extraverted,40,4.somewhat high in neuroticism,50,2.somewhat closed to experience,60,2.not very happy,60,Asian,0,3.35-44,60,M,20,Does not have a College Degree,80,"2.[25000, 50000)",90,single,90,4.highly interested,10,2.some of the time trust other people,50,4.paying a lot of attention,10,7.strong R,20,5.very ideologically conservative,20,1.Strongly Disapproves,20,1.Very unfavourable,20,1.Very unfavourable,60,1.Very unfavourable,20,4.Very favourable,20,4.Very favourable,60,No opinion,80,No opinion,80,No opinion,80,1.Very unfavourable,60,R,28,R,40,R,23.3333333333333
Alaska,politics,2024-10-17 11:50:25,no,03b677852a75866c90ca426700cbfe3534b95fb2f069f6ac27044a4d841c21ac,2024-10-17,Alaska at Large,Alaska,West,0.85,20,1,10,0.85,20,0.85,30,0.85,30,R,10,R,10,R,10,R,20,R,10,0.85,20,0.85,30,0.85,20,0.85,30,0.85,30,R,40,R,40,R,10,R,40,R,20,1,10,1,10,R,0,R,0,1,10,R,10,1.no chance,20,immigration,50,3.neither agreeable nor disagreeable,40,4.somewhat conscientious,60,4.somewhat extraverted,50,3.neither high nor low in neuroticism,80,4.somewhat open to experience,50,3.rather happy,40,White,60,3.35-44,50,F,0,Has a College Degree,70,"3.[50000, 75000)",70,married,0,4.highly interested,10,3.about half of the time trust other people,80,4.paying a lot of attention,10,7.strong R,10,5.very ideologically conservative,10,1.Strongly Disapproves,20,1.Very unfavourable,20,No opinion,90,1.Very unfavourable,20,4.Very favourable,10,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,R,12,R,30,R,3.33333333333333
Arizona,trends,2024-10-17 11:58:07,no,260764e09a66f4d0f594cacbcaecba06a6d9c13e52718a83b4f68099c3f229ff,2024-10-18,Arizona 4th,Arizona,West,0.5,60,0.5,70,0.3,60,0.3,70,0,70,stay home,80,stay home,50,stay home,90,stay home,70,stay home,85,0.3,60,0.5,60,0.7,60,0.3,60,0.3,60,stay home,80,stay home,80,stay home,90,stay home,60,stay home,90,0.5,60,0.15,85,stay home,90,stay home,90,0.3,70,stay home,70,4.50-50,60,civil rights and racism,60,4.somewhat agreeable,40,3.neither conscientious nor unconscientious,60,4.somewhat extraverted,40,5.very high in neuroticism,30,5.very open to experience,40,2.not very happy,50,White,70,1.18-24,30,F,20,Does not have a College Degree,40,"1.[min, 25000)",70,single,30,2.slightly interested,40,3.about half of the time trust other people,50,2.paying only a little attention,50,4.ind,80,3.moderate in ideological orientation,60,,70,No opinion,70,No opinion,80,No opinion,70,No opinion,70,No opinion,80,No opinion,80,No opinion,70,No opinion,80,No opinion,80,stay home,75,stay home,80,stay home,83.3333333333333
Arizona,trends,2024-10-18 19:00:54,no,236eae00bf46351b2732ac36574376c2b33d2146dcfccc941a8d97ddd3358cd3,2024-10-19,Arizona's 8th,Arizona,West,0.7,50,0.7,60,0.85,40,0.5,100,0.5,100,D,60,stay home,85,stay home,90,OTHER,100,stay home,90,0.3,40,0.7,60,0.7,40,0.5,100,0.5,100,stay home,75,stay home,90,D,60,OTHER,100,stay home,90,0.7,50,0.7,60,G,70,stay home,90,0.5,100,K,100,4.50-50,100,inflation and the cost of living,100,4.somewhat agreeable,40,3.neither conscientious nor unconscientious,100,3.neither extraverted nor introverted,100,3.neither high nor low in neuroticism,100,5.very open to experience,40,3.rather happy,40,White,100,4.45-54,20,F,30,Does not have a College Degree,60,"2.[25000, 50000)",100,single,100,3.moderately interested,100,3.about half of the time trust other people,100,3.paying some attention,100,4.ind,100,3.moderate in ideological orientation,100,2.Somewhat Disapproves,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,No opinion,100,stay home,85,stay home,83,stay home,86.6666666666667
Arizona,trends,2024-10-18 18:50:11,no,af2f5a7662f11e884c212989da073f72340f169b361171643e7e6a8c6fbfc56a,2024-10-18,Arizona's 8th Congressional District,Arizona,West,0.85,30,0.85,30,0.85,20,1,20,0.85,20,R,20,R,20,R,20,R,20,R,30,0.85,40,0.85,30,0.85,20,1,20,0.85,20,R,30,R,20,R,20,R,30,R,30,1,10,1,20,R,10,R,10,1,20,R,20,2.highly unlikely,30,national security,50,2.somewhat disagreeable,50,4.somewhat conscientious,50,4.somewhat extraverted,40,3.neither high nor low in neuroticism,60,2.somewhat closed to experience,50,2.not very happy,70,White,20,5.55-64,30,F,10,Does not have a College Degree,60,"2.[25000, 50000)",80,married,10,4.highly interested,10,2.some of the time trust other people,50,4.paying a lot of attention,20,7.strong R,20,5.very ideologically conservative,10,1.Strongly Disapproves,10,1.Very unfavourable,10,No opinion,80,1.Very unfavourable,10,4.Very favourable,10,No opinion,80,3.Somewhat favourable,40,No opinion,80,No opinion,80,No opinion,80,R,22,R,26,R,13.3333333333333
Arizona,trends,2024-10-22 06:43:13,no,3d040e02d35411ad0c3a0c9fb85cbedcc12a73a5e31d003ded919a4cba9456c2,2024-10-22,Arizona 3rd,Arizona,West,0.7,50,0.85,50,0.85,50,0.5,90,0,90,stay home,75,stay home,90,D,70,stay home,90,stay home,100,0.3,60,0.5,60,0.85,60,0.5,90,0,90,stay home,70,stay home,80,D,80,stay home,90,stay home,100,0.7,40,0.7,40,stay home,90,D,80,0.5,90,K,90,4.50-50,90,jobs and the economy,90,5.very agreeable,70,4.somewhat conscientious,70,5.very extraverted,60,2.somewhat low in neuroticism,70,4.somewhat open to experience,70,3.rather happy,70,White,100,2.25-34,70,F,0,Does not have a College Degree,80,"2.[25000, 50000)",90,single,90,2.slightly interested,90,2.some of the time trust other people,90,2.paying only a little attention,90,4.ind,80,3.moderate in ideological orientation,80,4.Strongly Approves,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,No opinion,90,stay home,85,stay home,84,K,86.6666666666667
